Var;ALLSKY_KT_1.x;ALLSKY_KT_2.x;ALLSKY_KT_3.x;ALLSKY_SRF_ALB_1.x;ALLSKY_SRF_ALB_2.x;ALLSKY_SFC_LW_DWN_1.x;ALLSKY_SFC_LW_DWN_2.x;ALLSKY_SFC_LW_UP_1.x;ALLSKY_SFC_LW_UP_2.x;ALLSKY_SFC_PAR_TOT_1.x;ALLSKY_SFC_PAR_TOT_2.x;ALLSKY_SFC_SW_DWN_1.x;ALLSKY_SFC_SW_DWN_2.x;ALLSKY_SFC_SW_UP_1.x;ALLSKY_SFC_SW_UP_2.x;ALLSKY_SFC_UV_INDEX_1.x;ALLSKY_SFC_UV_INDEX_2.x;ALLSKY_SFC_UV_INDEX_3.x;ALLSKY_SFC_UV_INDEX_4.x;ALLSKY_SFC_UVA_1.x;ALLSKY_SFC_UVA_2.x;ALLSKY_SFC_UVB_1.x;ALLSKY_SFC_UVB_2.x;ALLSKY_KT_1.y;ALLSKY_KT_2.y;ALLSKY_KT_3.y;ALLSKY_SRF_ALB_1.y;ALLSKY_SRF_ALB_2.y;ALLSKY_SFC_LW_DWN_1.y;ALLSKY_SFC_LW_DWN_2.y;ALLSKY_SFC_LW_UP_1.y;ALLSKY_SFC_LW_UP_2.y;ALLSKY_SFC_PAR_TOT_1.y;ALLSKY_SFC_PAR_TOT_2.y;ALLSKY_SFC_SW_DWN_1.y;ALLSKY_SFC_SW_DWN_2.y;ALLSKY_SFC_SW_UP_1.y;ALLSKY_SFC_SW_UP_2.y;ALLSKY_SFC_UV_INDEX_1.y;ALLSKY_SFC_UV_INDEX_2.y;ALLSKY_SFC_UV_INDEX_3.y;ALLSKY_SFC_UV_INDEX_4.y;ALLSKY_SFC_UVA_1.y;ALLSKY_SFC_UVA_2.y;ALLSKY_SFC_UVB_1.y;ALLSKY_SFC_UVB_2.y;CLRSKY_DAYS_1;CLRSKY_DAYS_2;CLRSKY_DAYS_3;CLRSKY_SRF_ALB_1;CLRSKY_SRF_ALB_2;CLRSKY_SRF_ALB_3;CLRSKY_SRF_ALB_4;CLRSKY_SRF_ALB_5;CLRSKY_SRF_ALB_6;CLRSKY_SRF_ALB_7;CLRSKY_SFC_LW_DWN_1;CLRSKY_SFC_LW_DWN_2;CLRSKY_SFC_LW_UP_1;CLRSKY_SFC_LW_UP_2;CLRSKY_SFC_PAR_TOT_1;CLRSKY_SFC_PAR_TOT_2;CLRSKY_SFC_SW_DWN_1;CLRSKY_SFC_SW_DWN_2;CLRSKY_SFC_SW_UP_1;CLRSKY_SFC_SW_UP_2;CLOUD_AMT_1;CLOUD_AMT_2;CLOUD_AMT_3;CLOUD_AMT_DAY_1;CLOUD_AMT_DAY_2;CLOUD_AMT_NIGHT_1;CLOUD_AMT_NIGHT_2;;PW_1 ;PW_2 ;TS_1 ;TS_2 ;U2M_1 ;U2M_2 ;U2M_3 ;EVLAND_1 ;EVLAND_2 ;EVLAND_3 ;EVPTRNS_1 ;EVPTRNS_2 ;EVPTRNS_3 ;V2M_1 ;V2M_2 ;V2M_3 ;GWETPROF_1 ;GWETPROF_2 ;RH2M_1 ;RH2M_2 ;GWETROOT_1 ;GWETROOT_2 ;QV2M_1 ;QV2M_2 ;RHOA_1 ;PS_1 ;Z0M_1 ;GWETTOP_1 ;GWETTOP_2 ;T2M_1 ;T2M_2 ;WD2M_1 ;WD2M_2 ;WD2M_3 ;WD2M_4 ;WD2M_5 ;WD2M_6 ;WS2M_1 ;PW_1 ;PW_2 ;TS_1 ;TS_2 ;U2M_1 ;U2M_2 ;U2M_3 ;EVLAND_1 ;EVLAND_2 ;EVLAND_3 ;EVPTRNS_1 ;EVPTRNS_2 ;EVPTRNS_3 ;V2M_1 ;V2M_2 ;V2M_3 ;GWETPROF_1 ;GWETPROF_2 ;RH2M_1 ;RH2M_2 ;GWETROOT_1 ;GWETROOT_2 ;QV2M_1 ;QV2M_2 ;RHOA_1 ;PS_1 ;Z0M_1 ;GWETTOP_1 ;GWETTOP_2 ;T2M_1 ;T2M_2 ;WD2M_1 ;WD2M_2 ;WD2M_3 ;WD2M_4 ;WD2M_5 ;WD2M_6 ;WS2M_1 
ALLSKY_KT8;0.744496007768553;0.550094255688406;0.00845549756439955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.744496007768553;0.550094255688406;0.00845549756439955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_KT9;0.864579902219621;0.0126627616063668;-0.287916065254269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.864579902219621;0.0126627616063668;-0.287916065254269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN0;0;0;0;0;0;0.870091948260002;-0.476269554441225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.870091948260002;-0.476269554441225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN1;0;0;0;0;0;0.889239422769133;-0.443585125189382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.889239422769133;-0.443585125189382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN10;0;0;0;0;0;0.926678323311113;-0.350358177513187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.926678323311113;-0.350358177513187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN11;0;0;0;0;0;0.874544065879773;-0.46465122459737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.874544065879773;-0.46465122459737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN2;0;0;0;0;0;0.946103988296433;-0.283203547686172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.946103988296433;-0.283203547686172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN3;0;0;0;0;0;0.971029496245051;-0.0787652526941941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.971029496245051;-0.0787652526941941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN4;0;0;0;0;0;0.919575683132059;0.33652389834882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.919575683132059;0.33652389834882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLSKY_SFC_LW_DWN5;0;0;0;0;0;0.763625655166962;0.623074373350275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.763625655166962;0.623074373350275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
